Group Report - Group PM25,,,,,,
,,,,,,
Date,Time,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Hyderabad,US Consulate-Mumbai,US Embassy-New Delhi
,,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_HYD,PM2.5_Mum,PM2.5_Delhi
,,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3
6/3/2016,6:00 AM,40,119,50,41,24
6/3/2016,7:00 AM,83,127,46,41,41
6/3/2016,8:00 AM,72,129,58,29,41
6/3/2016,9:00 AM,57,127,69,35,48
6/3/2016,10:00 AM,33,130,65,32,42
6/3/2016,11:00 AM,33,139,41,57,39
6/3/2016,12:00 PM,35,125,34,64,51
6/3/2016,1:00 PM,27,112,30,35,37
6/3/2016,2:00 PM,27,105,39,46,32
6/3/2016,3:00 PM,29,99,35,39,40
6/3/2016,4:00 PM,32,90,32,34,43
6/3/2016,5:00 PM,27,94,26,30,35
6/3/2016,6:00 PM,33,100,36,33,63
6/3/2016,7:00 PM,40,86,36,36,58
6/3/2016,8:00 PM,32,117,48,33,43
6/3/2016,9:00 PM,34,121,57,35,37
6/3/2016,10:00 PM,32,111,52,34,47
6/3/2016,11:00 PM,31,101,37,51,58
06/03/2016 24:00 AM,,28,116,41,76,57
7/3/2016,1:00 AM,24,134,41,89,62
7/3/2016,2:00 AM,25,138,38,61,74
7/3/2016,3:00 AM,28,132,42,45,51
7/3/2016,4:00 AM,25,122,40,40,51
7/3/2016,5:00 AM,21,115,42,40,49
7/3/2016,6:00 AM,28,134,48,48,67
7/3/2016,7:00 AM,28,114,59,46,68
7/3/2016,8:00 AM,32,113,60,74,90
7/3/2016,9:00 AM,23,132,---,84,121
7/3/2016,10:00 AM,16,110,38,40,144
7/3/2016,11:00 AM,25,117,38,44,265
7/3/2016,12:00 PM,27,99,36,43,170
7/3/2016,1:00 PM,28,97,22,44,121
7/3/2016,2:00 PM,24,52,26,16,64
7/3/2016,3:00 PM,29,63,27,44,80
7/3/2016,4:00 PM,33,61,---,51,69
7/3/2016,5:00 PM,100,49,42,47,57
7/3/2016,6:00 PM,55,59,44,58,63
7/3/2016,7:00 PM,54,75,42,60,67
7/3/2016,8:00 PM,48,78,55,64,68
7/3/2016,9:00 PM,40,98,49,85,88
