"AIR QUALITY REPORT-US EMBASSY, NEW DELHI and CONSULATES ( YR 2013)",,,,,,,,,,,,
Date,Time,US Embassy-New Delhi,US Embassy-New Delhi,US Consulate-Chennai,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Kolkata,US Consulate-Mumbai,US Consulate-Mumbai,US Consulate-Hyderabad,US Consulate-Hyderabad,
,,PM2.5_Delhi,PM2.5_Delhi_AQI,PM2.5_Chennai,PM2.5_CHN_AQI,PM2.5_Kolkata,PM2.5_KOL_AQI,PM2.5_Mum,PM2.5_MUM_AQI,PM2.5_HYD,PM2.5_HYD_AQI,
,,µg/m3,µg/m3,µg/m3,ug/m3,µg/m3,µg/m3,µg/m3,ug/m3,µg/m3,ug/m3,
3/1/2013,6:00 AM,92.2,254,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,7:00 AM,108,250,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,8:00 AM,93.9,249,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,9:00 AM,92.8,247,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,10:00 AM,107.9,246,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,11:00 AM,163.5,244,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,12:00 PM,186.9,243,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,1:00 PM,226.5,243,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,2:00 PM,233.1,242,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,3:00 PM,230.9,240,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,4:00 PM,172.2,240,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,5:00 PM,163.3,239,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,6:00 PM,180.1,239,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,7:00 PM,184.5,239,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,8:00 PM,235.5,238,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,9:00 PM,274.4,238,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,10:00 PM,321.2,237,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
3/1/2013,11:00 PM,307.5,236,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
03/01/2013 24:00 AM,,275,233,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,1:00 AM,303.3,232,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,2:00 AM,293.5,236,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,3:00 AM,282.8,242,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,4:00 AM,217.4,248,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,5:00 AM,127.8,252,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,6:00 AM,96.6,252,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,7:00 AM,91.3,252,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,8:00 AM,96.3,252,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,9:00 AM,101.5,252,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,10:00 AM,111.7,252,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,11:00 AM,168.6,252,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,12:00 PM,247.4,253,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,1:00 PM,309.7,255,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,2:00 PM,319,258,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,3:00 PM,NoData,262,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,4:00 PM,NoData,261,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,5:00 PM,NoData,263,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,6:00 PM,NoData,265,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,7:00 PM,NoData,267,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,8:00 PM,NoData,269,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,9:00 PM,NoData,268,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
4/1/2013,10:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
